"Periodo","CSE","MOV2","SUB","USM","CDAR","TUN","FTB","USQ","GYR","KEN","LFR","MAM","PTE","CBV","JAZ","BOL","BOS","COL","SCR","MOV"
"2014-01","N/A","N/A","65","N/A","32","38","N/A","40","53","95","30","55","51","N/A","N/A","N/A","N/A","N/A","37","N/A"
"2014-02","101","N/A","79","N/A","50","47","65","51","72","103","40","66","63","N/A","N/A","N/A","N/A","N/A","54","N/A"
"2014-03","96","N/A","76","N/A","48","44","59","59","73","94","37","67","61","N/A","N/A","N/A","N/A","N/A","53","N/A"
"2014-04","89","N/A","58","N/A","34","29","49","38","38","74","25","43","44","N/A","N/A","N/A","N/A","N/A","32","N/A"
"2014-05","97","N/A","45","N/A","48","N/A","61","39","25","80","N/A","43","62","N/A","N/A","N/A","N/A","N/A","36","N/A"
"2014-06","88","N/A","40","N/A","32","51","68","26","24","49","N/A","31","54","N/A","N/A","N/A","N/A","N/A","41","N/A"
"2014-07","82","N/A","34","N/A","N/A","38","N/A","22","19","N/A","N/A","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2014-08","86","N/A","37","N/A","N/A","52","N/A","N/A","23","57","N/A","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2014-09","N/A","N/A","N/A","N/A","N/A","50","N/A","N/A","32","58","31","30","63","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2014-10","90","N/A","45","N/A","38","56","N/A","34","35","61","42","39","73","N/A","N/A","N/A","N/A","N/A","45","N/A"
"2014-11","87","N/A","47","N/A","42","65","N/A","38","45","62","49","46","84","N/A","N/A","N/A","N/A","N/A","42","N/A"
"2014-12","98","N/A","45","N/A","41","74","N/A","38","43","71","45","46","81","N/A","N/A","N/A","N/A","N/A","43","N/A"
"2015-01","77","N/A","46","N/A","32","56","N/A","30","37","65","38","40","64","N/A","N/A","N/A","N/A","N/A","32","N/A"
"2015-02","102","N/A","56","N/A","42","60","N/A","42","36","94","48","49","65","N/A","N/A","N/A","N/A","N/A","43","N/A"
"2015-03","93","N/A","55","N/A","45","60","N/A","42","39","83","50","50","67","N/A","N/A","N/A","N/A","N/A","61","N/A"
"2015-04","88","N/A","47","N/A","24","41","N/A","29","29","67","32","35","53","N/A","N/A","N/A","N/A","N/A","25","N/A"
"2015-05","79","N/A","48","N/A","27","47","N/A","26","33","70","33","35","53","N/A","N/A","N/A","N/A","N/A","24","N/A"
"2015-06","72","N/A","35","N/A","15","30","N/A","18","20","48","22","23","35","N/A","N/A","N/A","N/A","N/A","13","N/A"
"2015-07","83","N/A","33","N/A","18","36","N/A","19","21","53","23","22","39","N/A","N/A","N/A","N/A","N/A","14","N/A"
"2015-08","77","N/A","37","N/A","18","29","N/A","22","24","53","30","26","38","N/A","N/A","N/A","N/A","N/A","15","N/A"
"2015-09","94","N/A","52","N/A","24","37","N/A","24","32","72","31","27","48","N/A","N/A","N/A","N/A","N/A","18","N/A"
"2015-10","100","N/A","55","N/A","36","40","N/A","32","32","74","36","34","54","N/A","N/A","N/A","N/A","N/A","21","N/A"
"2015-11","94","N/A","50","N/A","34","42","N/A","43","36","60","40","35","58","N/A","N/A","N/A","N/A","N/A","22","N/A"
"2015-12","76","N/A","N/A","N/A","23","35","N/A","31","30","56","30","28","50","N/A","N/A","N/A","N/A","N/A","18","N/A"
"2016-01","95","N/A","69","N/A","57","76","N/A","N/A","50","85","64","56","75","N/A","N/A","N/A","N/A","N/A","54","N/A"
"2016-02","91","N/A","67","N/A","42","66","N/A","51","41","N/A","48","41","62","N/A","N/A","N/A","N/A","N/A","33","N/A"
"2016-03","88","N/A","67","N/A","51","N/A","N/A","N/A","48","N/A","54","49","69","N/A","N/A","N/A","N/A","N/A","41","N/A"
"2016-04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","43","N/A","64","42","42","54","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2016-05","67","N/A","N/A","N/A","23","38","N/A","30","22","54","N/A","27","44","N/A","N/A","N/A","N/A","N/A","17","N/A"
"2016-06","65","N/A","44","","18","32","N/A","28","21","46","24","23","38","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2016-07","N/A","N/A","45","N/A","16","29","N/A","27","22","45","23","21","34","N/A","N/A","N/A","N/A","N/A","15","N/A"
"2016-08","67","N/A","N/A","N/A","20","35","N/A","32","26","53","28","22","40","N/A","N/A","N/A","N/A","N/A","17","N/A"
"2016-09","67","N/A","N/A","N/A","29","38","N/A","38","29","53","35","26","42","N/A","N/A","N/A","N/A","N/A","20","N/A"
