X,Y,OBJECTID,ID,EXTERNO,DIRECCION,LOCALIDAD,EQUIPO,NUMEROINTERSECCIONES_POREQUIPO,UBICACIONEQUIPO,FECHAINSTALACION,OPERACIONACTUAL,FUNCIONAMIENTO,IMPLEMENTACION,TIPOINTERSECCION,GRUPOSENALES,TOTALGRUPOSENALES,NUMEROFASES,GRUPOSVEHICULARES,GRUPOS_BRT,GRUPOSPEATONALES,GRUPOSSONOROS,GRUPOSCICLISTAS,CANTIDADCONTADORES,FUNCIONDETECTORES,ZONAAUTOMATICA
-74.05225988,4.65942596299999,1859,118,1007,AK 7 X CL 77,CHAPINERO,C900,SENCILLA,SI,1997/12/12 00:00:00+00,NORMAL,R-TA,DEFINITIVA,"VEHICULAR, PEATONAL, CICLISTA",9,9,3,"1,2,2A,3,5",N/A,"22,23,31",N/A,41,0,"Conteo, Brechas, Fases por demanda",1908
-74.05290654,4.65877346399998,1860,126,1008,AK 7 X CL 76,CHAPINERO,C900,DOBLE,SI,1997/12/27 00:00:00+00,NORMAL,R-TA,DEFINITIVA,"VEHICULAR, PEATONAL, CICLISTA",9,16,2,"1,12,12A,6",N/A,"21,312,36",N/A,"41,412",0,"Conteo, Brechas",1908
-74.05338584,4.658027774,1861,135,1008,AK 7 X CL 75,CHAPINERO,NO,DOBLE,NO,1997/12/27 00:00:00+00,NORMAL,R-TA,DEFINITIVA,"VEHICULAR, PEATONAL, CICLISTA",7,16,2,"2,2A,11,94",N/A,"22,211",N/A,42,0,"Conteo, Brechas",1908
-74.05542092,4.65486459300001,1862,152,1009,AK 7 X AC 72,CHAPINERO,C900,SENCILLA,SI,1997/03/27 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",16,16,3,"1,2,2A,3,4,7,93",N/A,"21,22,23,24,31,32,33,34,293",N/A,NO,0,"Conteo, Brechas, Fases por demanda, Cola - Siguiente Intersección",1909
-74.05655619,4.65276107900002,1863,162,1010,AK 7 X CL 70,CHAPINERO,C900,SENCILLA,SI,1996/11/22 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",9,9,3,"1,2,2A,3,4",N/A,"22,23,24,31",N/A,NO,0,"Conteo, Brechas, Fases por demanda, Fases por demanda peatonal",1909
-74.05821839,4.65069136599999,1864,173,1011,AK 7 X CL 67,CHAPINERO,C900,SENCILLA,SI,1997/03/22 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL, CICLISTA",14,14,2,"1,2,2A,4,61,64",N/A,"21,22,24,31,32,34",N/A,41.42,0,"Conteo, Brechas, Fases por demanda",1909
-74.02439852,4.75385691499997,1865,5,1012,AK 7 X CL 175,USAQUEN,C900,SENCILLA,SI,2004/10/20 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",6,6,3,"1,2,94",N/A,"21,22,294",N/A,NO,0,N/A,1208
-74.03757174,4.76455015300002,1866,1345,1013,KR 16 X CL 187,USAQUEN,C900,SENCILLA,SI,2014/07/19 00:00:00+00,NORMAL,BT-TA,DEFINITIVA,"VEHICULAR, PEATONAL",6,6,4,"1,2,3",N/A,"21,22,23",N/A,NO,0,Brechas,1208
-74.05717262,4.647898946,1867,171,1014,KR 4A X CL 65,CHAPINERO,ACTROS,SENCILLA,SI,2006/02/28 00:00:00+00,NORMAL,BT-TA,DEFINITIVA,"VEHICULAR, PEATONAL",4,4,2,"1,3",N/A,"21,23",N/A,NO,0,Brechas,2803
-74.03741913,4.760223188,1868,1233,1015,KR 16 X AC 183,USAQUEN,C900,SENCILLA,SI,2011/11/12 00:00:00+00,NORMAL,BT-TA,DEFINITIVA,"VEHICULAR, PEATONAL",9,9,3,"3,4,13,91,92",N/A,"23,24,291,292","723, 724, 7291, 7292",NO,0,Activación de sonoro,1208
